Name,Tag Color,URL,Support URL,Warranty Lookup URL,Support Phone,Support Email,Notes
John Deere,#367c2b,,,,,,Agricultural machinery
Massey Ferguson,#c8102e,,,,,,Agricultural machinery
New Holland,#ffcc00,,,,,,Agricultural machinery
Kuhn,#e30613,,,,,,Agricultural implements
Jacto,#e31b23,,,,,,Agricultural spraying equipment
Ocmis,#005baa,,,,,,Irrigation equipment
Claas,#77b82a,,,,,,Harvesting equipment
Toyota,#eb0a1e,,,,,,Farm utility vehicles
Isuzu,#003b70,,,,,,Farm utility vehicles
Polaris,#c8102e,,,,,,Off-road utility vehicles
Honda,#cc0000,,,,,,Generators and power equipment
Grundfos,#e3000b,,,,,,Pumps
Fronius,#e30613,,,,,,Workshop welding equipment
Gallagher,#004b87,,,,,,Livestock management equipment
Tru-Test,#005596,,,,,,Livestock weighing and identification
Priefert,#1e4b2f,,,,,,Livestock handling equipment
Klipfontein Farm Genetics,#8b4513,,,,,,Fictional in-house livestock breeding line
Klipfontein Fabrication,#6c757d,,,,,,Fictional in-house farm fabrication
SiloKing,#bc6c25,,,,,,Fictional grain handling equipment supplier
